time, a_pos.x, a_pos.y, a_pos.z, a_vel.x, a_vel.y, a_vel.z, a_acc.x, a_acc.y, a_acc.z, a_ang_vel.x, a_ang_vel.y, a_ang_vel.z, a_eul_ang.x, a_eul_ang.y, a_eul_ang.z, r_pos.x, r_pos.y, r_pos.z, r_vel.x, r_vel.y, r_vel.z, r_acc.x, r_acc.y, r_acc.z, r_eul_ang.x, r_eul_ang.y, r_eul_ang.z, r_torq.x, r_torq.y, r_torq.z, dist_f.x, dist_f.y, dist_f.z, r_thr, r_psi
1744895330.659888506, 2.49728947e-06, -6.12807078e-06, -0.93556141, 0.000122802552, -0.000307028681, -3.74447729, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.661888599, 2.75223994e-06, -6.76636677e-06, -0.943048469, 0.00013220651, -0.000331437382, -3.74258108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.663887024, 3.02645831e-06, -7.45478692e-06, -0.950531485, 0.000142071486, -0.000357157702, -3.74043492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.665887594, 3.32087445e-06, -8.19598934e-06, -0.958009964, 0.000152405269, -0.000384224483, -3.73804367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.667901993, 3.63643342e-06, -8.99270152e-06, -0.96548342, 0.000163215273, -0.000412672313, -3.73541208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.669908285, 3.97409497e-06, -9.84772016e-06, -0.972951377, 0.000174508814, -0.000442535822, -3.73254484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.671883583, 4.33483345e-06, -1.07639113e-05, -0.980413368, 0.00018629318, -0.000473849757, -3.72944651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.678054333, 4.33483345e-06, -1.07639113e-05, -0.980413368, 0.00018629318, -0.000473849757, -3.72944651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.678156137, 4.33483345e-06, -1.07639113e-05, -0.980413368, 0.00018629318, -0.000473849757, -3.72944651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1744895330.680177212, 4.33483345e-06, -1.07639113e-05, -0.980413368, 0.00018629318, -0.000473849757, -3.72944651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.000129209177, -5.61925241e-05, 0.0019075762, 0, 0, 0, 0, 0
1744895330.682531834, 5.56547175e-06, -1.39092262e-05, -1.00275902, 0.000224663595, -0.00057684346, -3.71880935, 0.0067499394, -0.0182525352, 1.8829879, 0.025517, 0.00983316561, -1.11554612, 0.0014656677, 0.000647666336, -0.0618790023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.000129209177, -5.61925241e-05, 0.0019075762, 0, 0, 0, 0, 0
1744895330.684136391, 6.02855126e-06, -1.51001641e-05, -1.01019266, 0.000238483358, -0.000614308983, -3.7148306, 0.00701113837, -0.0190554329, 1.98985746, 0.0258856972, 0.00995877337, -1.13595153, 0.00151558602, 0.000670814754, -0.0641304685, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.000143857791, -6.42805173e-05, 0.00270776101, 0, 0, 0, 0, 0
1744895330.686273336, 6.51979558e-06, -1.63676534e-05, -1.01761813, 0.000252829303, -0.000653399974, -3.7106423, 0.00727555337, -0.0198757195, 2.09465863, 0.0262474452, 0.0100788538, -1.15612212, 0.00156615451, 0.000694384505, -0.0664225091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.000143857791, -6.42805173e-05, 0.00270776101, 0, 0, 0, 0, 0
1744895330.688144207, 7.04026329e-06, -1.77149797e-05, -1.02503502, 0.000252829303, -0.000653399974, -3.7106423, 0.00727555337, -0.0198757195, 2.09465863, 0.0262474452, 0.0100788538, -1.15612212, 0.00156615451, 0.000694384505, -0.0664225091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.000143857791, -6.42805173e-05, 0.00270776101, 0, 0, 0, 0, 0
1744895330.690324545, 7.59102475e-06, -1.91454971e-05, -1.03244292, 0.000283123791, -0.000736595991, -3.70165317, 0.0078130087, -0.0215676622, 2.29821979, 0.0269489523, 0.0103017989, -1.19572962, 0.00166917429, 0.000742761892, -0.0711263846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.000143857791, -6.42805173e-05, 0.00270776101, 0, 0, 0, 0, 0
1744895330.692570210, 8.17316102e-06, -2.06626274e-05, -1.03984144, 0.000299083062, -0.000780768795, -3.6968602, 0.00808552439, -0.022438894, 2.39705971, 0.027288852, 0.0104047452, -1.21517141, 0.0017215914, 0.000767556168, -0.0735372478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.000143857791, -6.42805173e-05, 0.00270776101, 0, 0, 0, 0, 0
